model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,7,0.4526919333471192,0.851740247938368,2021-12-19 11:17:03.703945,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,8,0.4339093918601672,0.8086294148763026,2021-12-19 11:40:38.712075,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,8,0.531156988773081,0.851740247938368,2021-12-19 11:40:38.712123,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,9,0.45814171930154163,0.8083386404854911,2021-12-19 12:04:08.409927,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,9,0.4597362781046993,0.851740247938368,2021-12-19 12:04:08.409963,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,10,0.45224097079286973,0.811036676316034,2021-12-19 12:27:38.265383,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,10,0.48344027346207036,0.851740247938368,2021-12-19 12:27:38.265418,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,11,0.4504394779114851,0.8074898826962429,2021-12-19 12:51:20.721898,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,11,0.4402707386554943,0.851740247938368,2021-12-19 12:51:20.721959,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,12,0.4477787392169592,0.8063957693917412,2021-12-19 13:14:52.822982,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,12,0.4239882117137313,0.851740247938368,2021-12-19 13:14:52.823056,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,13,0.4404340645298362,0.8104273536318823,2021-12-19 13:38:23.661532,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,13,0.43871588100575737,0.851740247938368,2021-12-19 13:38:23.661566,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,14,0.44265326588813747,0.8066951381138391,2021-12-19 14:01:59.533557,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,14,0.4350529535363118,0.851740247938368,2021-12-19 14:01:59.533591,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,15,0.440309968874568,0.8071389537992928,2021-12-19 14:25:24.449514,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,15,0.4317498711248239,0.851740247938368,2021-12-19 14:25:24.449561,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,16,0.43865895944957933,0.8080324532645088,2021-12-19 14:48:44.893971,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,16,0.44367350428882574,0.851740247938368,2021-12-19 14:48:44.894033,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,17,0.4291735556242721,0.8054194045293896,2021-12-19 15:12:10.750612,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,17,0.4271691642701626,0.851740247938368,2021-12-19 15:12:10.750674,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,18,0.43090561791101384,0.804660211472284,2021-12-19 15:35:28.170928,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,18,0.4220791534003284,0.851740247938368,2021-12-19 15:35:28.170969,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,19,0.418606704761762,0.8076263921828498,2021-12-19 15:58:45.859668,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,19,0.4329471341230803,0.851740247938368,2021-12-19 15:58:45.859718,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,20,0.42419150084523216,0.8066854742140992,2021-12-19 16:22:11.944943,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,20,0.4121505570287506,0.851740247938368,2021-12-19 16:22:11.944991,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,21,0.40884104344461647,0.8075676967075894,2021-12-19 16:45:28.714099,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,21,0.4176860882797175,0.851740247938368,2021-12-19 16:45:28.714135,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,22,0.41070203851198867,0.8068696521577381,2021-12-19 17:08:48.683585,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,22,0.411067188758817,0.851740247938368,2021-12-19 17:08:48.683641,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,23,0.40350066690838765,0.8047334652855287,2021-12-19 17:32:07.343248,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,23,0.4135329404431913,0.851740247938368,2021-12-19 17:32:07.343324,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,24,0.398428820126823,0.8068409220377609,2021-12-19 17:55:20.245542,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,24,0.4107202374479837,0.851740247938368,2021-12-19 17:55:20.245599,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,25,0.3963936416299215,0.8079052763439355,2021-12-19 18:18:39.588049,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,25,0.3911259648804035,0.851740247938368,2021-12-19 18:18:39.588098,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,26,0.3914329733610863,0.8062203049432661,2021-12-19 18:42:00.543207,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,26,0.3814035840332508,0.851740247938368,2021-12-19 18:42:00.543256,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,27,0.39013395071295753,0.8086795160202754,2021-12-19 19:05:23.601787,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,27,0.3856694706819124,0.851740247938368,2021-12-19 19:05:23.601822,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,28,0.3877652403565922,0.8070415358770465,2021-12-19 19:28:47.015498,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,28,0.37180388050360813,0.851740247938368,2021-12-19 19:28:47.015576,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,29,0.37866680551142917,0.8091702299572175,2021-12-19 19:52:10.371392,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,29,0.3612969710181157,0.851740247938368,2021-12-19 19:52:10.371427,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,30,0.3743192911303292,0.8075343627929685,2021-12-19 20:15:35.403970,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,30,0.38638295031463105,0.8517359890407984,2021-12-19 20:15:35.404003,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,31,0.36865588807545246,0.8074258568173366,2021-12-19 20:38:52.713508,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,31,0.3664046048704121,0.851740247938368,2021-12-19 20:38:52.713555,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,32,0.37814556521674,0.8065822463262647,2021-12-19 21:02:18.551214,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,32,0.37060976897676784,0.851740247938368,2021-12-19 21:02:18.551247,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,33,0.3658561737753362,0.8136171380905877,2021-12-19 21:25:37.956121,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,33,0.3529759073785196,0.851740247938368,2021-12-19 21:25:37.956167,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,34,0.3562862916306282,0.8331926066080729,2021-12-19 21:48:59.091666,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,34,0.35824590035610726,0.8517460801866319,2021-12-19 21:48:59.091722,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,35,0.35145735180537613,0.8415275181361603,2021-12-19 22:12:20.286420,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,35,0.3454341898154881,0.8519938557942707,2021-12-19 22:12:20.286483,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,36,0.3564536808346886,0.8381563400995162,2021-12-19 22:35:48.770325,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,36,0.43854315552550055,0.851740247938368,2021-12-19 22:35:48.770374,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,37,0.3494432593219071,0.8459166056315104,2021-12-19 22:59:12.404695,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,37,0.32155056411089994,0.8532911783854166,2021-12-19 22:59:12.404734,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,38,0.35893902698132607,0.8426765136718742,2021-12-19 23:22:34.349228,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,38,0.29950039627340935,0.8544537217881943,2021-12-19 23:22:34.349277,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,39,0.34961323120320836,0.8434064476376492,2021-12-19 23:45:59.752560,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,39,0.3109187352315833,0.8538865831163193,2021-12-19 23:45:59.752609,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,40,0.33349417467889864,0.8565296601795015,2021-12-20 00:09:22.173655,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,40,0.32656200725792184,0.854306450737847,2021-12-20 00:09:22.173705,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,41,0.3262926968213703,0.8577786487397694,2021-12-20 00:32:49.484272,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,41,0.5332123435516324,0.8517382269965276,2021-12-20 00:32:49.484322,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,42,0.34134552010246333,0.8550927734374986,2021-12-20 00:56:07.660884,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,42,0.325598740313823,0.8575828043619789,2021-12-20 00:56:07.660919,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,43,0.32587459750163056,0.8596895606631323,2021-12-20 01:19:28.313143,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,43,0.40992179482450913,0.85177057562934,2021-12-20 01:19:28.313191,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,44,0.3214835600084847,0.8631674310593371,2021-12-20 01:42:55.997176,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
